Timestamp,Operation,Coin,Price,Momentum,Price Change %,Trading Pair
2024-12-09T01:00:05.807174,SELL,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:05.823026,BUY,NEO,11.2,True,4.380242311276783,NEO[USDT]
2024-12-09T01:00:05.839968,SELL,NEO,11.21,True,4.4734389561975805,NEO[USDT]
2024-12-09T01:00:05.857975,BUY,NEO,11.19,True,4.287045666356002,NEO[USDT]
2024-12-09T01:00:05.873387,BUY,IOTA,0.2427,True,3.1011045029736626,IOTA[USDT]
2024-12-09T01:00:05.889474,BUY,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:05.907136,SELL,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:05.923228,BUY,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:05.942688,SELL,NEO,11.17,True,4.100652376514441,NEO[USDT]
2024-12-09T01:00:05.957390,BUY,NEO,11.18,True,4.193849021435222,NEO[USDT]
2024-12-09T01:00:05.975839,SELL,NEO,11.15,True,3.914259086672879,NEO[USDT]
2024-12-09T01:00:05.990676,BUY,NEO,11.11,True,3.541472506989739,NEO[USDT]
2024-12-09T01:00:06.010210,SELL,NEO,11.1,True,3.4482758620689578,NEO[USDT]
2024-12-09T01:00:06.024666,BUY,NEO,11.1,True,3.4482758620689578,NEO[USDT]
2024-12-09T01:00:06.041218,SELL,NEO,11.1,True,3.4482758620689578,NEO[USDT]
2024-12-09T01:00:06.057059,BUY,NEO,11.11,True,3.541472506989739,NEO[USDT]
2024-12-09T01:00:06.074744,SELL,NEO,11.11,True,3.541472506989739,NEO[USDT]
2024-12-09T01:00:06.090484,BUY,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.107593,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.123730,BUY,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.140920,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.156500,BUY,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.174895,SELL,NEO,11.11,True,3.541472506989739,NEO[USDT]
2024-12-09T01:00:06.194418,BUY,NEO,11.1,True,3.4482758620689578,NEO[USDT]
2024-12-09T01:00:06.211015,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.226238,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:06.243089,SELL,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:06.257632,BUY,NEO,11.14,True,3.821062441752098,NEO[USDT]
2024-12-09T01:00:06.276767,SELL,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:06.291212,BUY,NEO,11.11,True,3.541472506989739,NEO[USDT]
2024-12-09T01:00:06.311573,SELL,NEO,11.11,True,3.541472506989739,NEO[USDT]
2024-12-09T01:00:06.326204,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:06.344173,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.357778,BUY,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.377063,SELL,NEO,11.12,True,3.63466915191052,NEO[USDT]
2024-12-09T01:00:06.390915,BUY,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:06.408324,SELL,NEO,11.13,True,3.7278657968313174,NEO[USDT]
2024-12-09T01:00:06.422993,BUY,NEO,11.16,True,4.00745573159366,NEO[USDT]
2024-12-09T01:00:06.440634,SELL,NEO,11.22,True,4.566635601118361,NEO[USDT]
2024-12-09T01:00:06.456247,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:06.475340,SELL,NEO,11.23,True,4.659832246039143,NEO[USDT]
2024-12-09T01:00:06.491656,BUY,NEO,11.23,True,4.659832246039143,NEO[USDT]
